"","ID","Study_meta","Total_Selection","Total_Comparability","Total_Outcome","Total_Overall","Cohort_Selection_Risk","Comparability_Risk","Outcome_Risk","Overall_Risk","Overall_Quality"
"1","ID 5105","Abbas, Sudan, 2018",3,2,3,8,"Low","Low","Low","Low","High"
"2","ID 4075","Abd El Bagi, Sudan, 2003",0,0,3,3,"High","High","Low","High","Low"
"3","ID 1249","Aboudi, Sudan, 2017",3,2,3,8,"Low","Low","Low","Low","High"
"4","ID 5785","Adoubryn, Côte d'Ivoire, 2008",3,2,3,8,"Low","Low","Low","Low","High"
"5","ID 3734","Adoubryn, West Africa, 2009",1,0,3,4,"High","High","Low","High","Low"
"6","ID 2267","Ali, Sudan, 2022",2,2,3,7,"Some Concerns","Low","Low","Low","High"
"7","ID 5774","Ansari, India, 2023",2,2,3,7,"Some Concerns","Low","Low","Low","High"
"8","ID 801","Aounallah, Tunisia, 2023",3,2,3,8,"Low","Low","Low","Low","High"
"9","ID 475","Azraga, Sudan, 2011",0,0,3,3,"High","High","Low","High","Low"
"10","ID 1892","Bakhiet, Sudan, 2018",0,0,3,3,"High","High","Low","High","Low"
"11","ID 4018","Balabanoff, Bulgaria, 1998",1,0,3,4,"High","High","Low","High","Low"
"12","ID 5273","Basher, Sudan, 2021",2,2,3,7,"Some Concerns","Low","Low","Low","High"
"13","ID 1203","Batalla, Morocco, 2011",3,2,3,8,"Low","Low","Low","Low","High"
"14","ID 770","Bocarro, India, 1893",0,0,3,3,"High","High","Low","High","Low"
"15","ID 3905","Bonifaz, Mexico, 2014",3,2,3,8,"Low","Low","Low","Low","High"
"16","ID 3081","Castro, Brazil, 1992",3,2,3,8,"Low","Low","Low","Low","High"
"17","ID 5603","Castro, Brazil, 2008",0,0,3,3,"High","High","Low","High","Low"
"18","ID 5771","Colom, Kenya, 2023",0,0,3,3,"High","High","Low","High","Low"
"19","ID 136","Convit, Venezuela, 1959",1,0,3,4,"High","High","Low","High","Low"
"20","ID 2893","Correa, Mexico, 2018",3,2,3,8,"Low","Low","Low","Low","High"
"21","ID 5797","Czechowski, United Arab Emirates, 2001",0,0,3,3,"High","High","Low","High","Low"
"22","ID 3927","Daoud, Tunisia, 2005",3,2,3,8,"Low","Low","Low","Low","High"
"23","ID 3486","Darre ́, Togo, 2018",3,2,3,8,"Low","Low","Low","Low","High"
"24","ID 3886","Dharmshale, India, 2015",3,2,3,8,"Low","Low","Low","Low","High"
"25","ID 4072","EL Shamy, Sudan, 2012",0,0,3,3,"High","High","Low","High","Low"
"26","ID 1887","El Hag, Sudan, 1994",0,0,3,3,"High","High","Low","High","Low"
"27","ID 5776","Elgallali, Tunisia, 2010",0,0,3,3,"High","High","Low","High","Low"
"28","ID 5772","Enbiale, Ethiopia, 2023",3,2,3,8,"Low","Low","Low","Low","High"
"29","ID 963","Estrada-Castañón, Mexico, 2019",2,2,3,7,"Some Concerns","Low","Low","Low","High"
